# DS_RateLevel Optimisation
# Monday 23 July  22:03:28 EST 2012
#param.w.x[glg][ds] = 0.000531549	[1e-06,0.03]
#param.w.x[hsr][ds] = 0.000167221	[1e-06,0.03]
#param.w.x[lsr][ds] = 0.013091	[1e-06,0.03]
#param.n.x[lsr][ds] = 52	[0.001,0.2]
#param.n.x[hsr][ds] = 124	[0.001,0.2]
# RL Error = 27.2951
# NRL Error = 77.3139
# Final error = 104.609
# Level, DS Model, GLG, HSR, LSR (sp/s)
50	0	8	287.3	8.76
60	0	16.8	286.5	21.64
70	0.8	12	274.08	9.72
80	0	12.8	284.7	15.76
90	4	25.6	285.2	34.64
100	12	44.8	290.74	78.64


20	0	4.8	283.58	4
40	0	26.4	290.66	44.52
60	0.8	44	296.46	89.72
80	4	53.6	290.8	118.16
100	27.2	87.2	293.92	138.4
# bandwidth
#	0.0000	0.0000	0.0000	0.0000
#	3.0000	0.0000	6.0000	0.0000
#	9.0000	9.0000	0.0000	5.0000
#	3.0000	0.0000	2.0000	0.0000
#	0.0000	0.0000	20.0000	0.0000
#	0.0000	0.0000	21.0000	5.0000
# num. connections
#	10	0	0	0
#	7	0	6	0
#	10	19	0	0
#	7	2	9	0
#	10	10	124	0
#	10	15	52	25
# weights
#	0	0	0	0
#	0.0005	0	0.0005	0
#	0.0007	0.001	0	0
#	0.0005	0	0.000531549	0
#	0.0025	0.0015	0.000167221	0.0487
#	0.0025	0.0015	0.013091	0.5166
# delay
#	0.4000	0.0000	0.4000	0.0000
#	0.4000	0.0000	1.0000	0.0000
#	0.4000	1.0000	0.0000	0.0000
#	0.0000	0.0000	0.4000	0.0000
#	1.6000	2.0000	1.0000	2.5000
#	1.6000	2.0000	1.0000	2.5000
# offset 4
